,thunder,snow,minhumidity,coolingdegreedays,maxdewptm,heatingdegreedays,meanpressurem,rain,minwspdm,fog,humidity,gdegreedays,mindewptm,minpressurem,maxtempm,meanwindspdm,maxpressurem,hail,meandewptm,maxwspdm,precipm,meantempm,meanwdird,maxhumidity,mintempm
11,-0.0833,[-0.0075],-12.5655,-1.382,-3.1099,-4.1931,-3.8699,-0.2787,[-2.7562],-0.0924,-9.866,-4.3463,-3.3202,-4.1513,-3.5481,"['*', -3.339]",-3.5994,[-0.0023],-3.0321,"['*', -6.4173]",[-1.5349],-2.9489,[-84.6975],-7.5444,-3.3491
12,-0.0841,[-0.0076],-12.6825,-1.4011,-3.1462,-4.2426,-3.9391,-0.2802,-2.7658,-0.0924,-9.958,-4.4079,-3.3675,-4.2232,-3.5878,[-3.3472],-3.659,[-0.0023],-3.0751,[-6.4246],[-1.5383],-2.9871,-84.6729,-7.5747,-3.3759
13,-0.0847,[-0.0077],-12.7612,-1.4184,-3.1828,-4.2926,-4.002,-0.2812,-2.7763,-0.0928,-10.0218,-4.4637,-3.4101,-4.2924,-3.6294,[-3.3499],-3.7149,[-0.0022],-3.12,[-6.423],[-1.5426],-3.0202,[-84.6914],-7.6314,-3.4044
14,-0.0851,[-0.0076],-12.8544,-1.4352,-3.2241,-4.3397,-4.0607,-0.2825,-2.7843,-0.0929,-10.0905,-4.5205,-3.4525,-4.3567,-3.6629,[-3.3608],-3.7724,[-0.0021],-3.1642,[-6.4382],-1.5441,-3.054,-84.8153,-7.6618,-3.4318
15,-0.0852,[-0.0078],-12.9336,-1.4501,-3.263,-4.3849,-4.1054,-0.2833,-2.7986,-0.0929,-10.1295,-4.5723,-3.4947,-4.4023,-3.6915,[-3.3701],-3.8232,[-0.0021],-3.2044,[-6.4503],-1.5473,-3.0862,-84.8936,-7.7014,-3.4491
16,-0.0854,[-0.0079],-12.9893,-1.4637,-3.2902,-4.4283,-4.1416,-0.2847,-2.8078,-0.0932,-10.162,-4.6181,-3.5259,-4.4352,-3.7101,[-3.377],-3.8655,[-0.0021],-3.2359,[-6.4514],-1.5547,-3.1148,-85.0592,-7.7227,-3.469
17,-0.0852,[-0.0083],-13.0467,-1.478,-3.3251,-4.4738,-4.1707,-0.2862,-2.8118,-0.0934,-10.2079,-4.6598,-3.5652,-4.4626,-3.7305,[-3.3811],-3.9012,[-0.0021],-3.2761,[-6.449],-1.5623,-3.1418,-85.2414,-7.7325,-3.4911
18,-0.0856,[-0.0084],-13.0914,-1.4892,-3.3569,-4.5109,-4.1946,-0.2879,-2.8222,-0.0938,-10.2546,-4.6949,-3.6021,-4.4828,-3.7498,[-3.3887],-3.929,[-0.0021],-3.3132,[-6.4481],[-1.5632],-3.1629,-85.4361,-7.7506,-3.5103
19,-0.0857,[-0.0086],-13.1519,-1.5024,-3.3879,-4.5557,-4.2144,-0.2891,-2.8314,-0.0939,-10.297,-4.7329,-3.6394,-4.4994,-3.7743,[-3.3963],-3.9543,[-0.0021],-3.3495,[-6.4458],-1.5693,-3.1882,-85.6536,-7.7658,-3.5316
20,-0.0859,[-0.0086],-13.2059,-1.5156,-3.4184,-4.5975,-4.2377,-0.29,-2.8416,-0.0941,-10.3266,-4.7737,-3.6724,-4.5165,-3.796,[-3.3992],-3.9818,[-0.0021],-3.3811,[-6.4468],-1.5704,-3.2126,-85.7366,-7.7856,-3.5516
21,-0.086,-0.0087,-13.2431,-1.5288,-3.4466,-4.6387,-4.2653,-0.2905,-2.8499,-0.0942,-10.3545,-4.8108,-3.7057,-4.5316,-3.8198,[-3.4026],-4.0133,[-0.0021],-3.4142,[-6.447],-1.5776,-3.2377,-85.9343,-7.8069,-3.5748
22,-0.0862,-0.0088,-13.275,-1.5431,-3.4742,-4.689,-4.2917,-0.2913,-2.8597,-0.0944,-10.3853,-4.8576,-3.7423,-4.5493,-3.8401,[-3.407],-4.0424,[-0.0021],-3.4474,[-6.4551],-1.5812,-3.2688,-86.0386,-7.8365,-3.5939
23,-0.0861,-0.0088,-13.3167,-1.5557,-3.4964,-4.7289,-4.3174,-0.292,-2.8631,-0.0943,-10.4139,-4.8997,-3.7774,-4.5695,-3.8644,[-3.4071],-4.0719,[-0.0021],-3.4783,[-6.4521],-1.5821,-3.2941,-86.1438,-7.8731,-3.6127
24,-0.0862,-0.0088,-13.3349,-1.5658,-3.5241,-4.7621,-4.3374,-0.293,-2.8693,-0.0943,-10.4541,-4.9339,-3.8109,-4.5889,-3.8858,[-3.4088],-4.0932,[-0.0021],-3.5107,[-6.4556],-1.5804,-3.3151,-86.2463,-7.8935,-3.6314
25,-0.086,-0.0089,-13.3638,-1.5752,-3.5474,-4.7978,-4.368,-0.2938,-2.8727,-0.0944,-10.4775,-4.9705,-3.8405,-4.6151,-3.91,[-3.4099],-4.1245,[-0.0021],-3.5386,[-6.4632],-1.5801,-3.3374,-86.3524,-7.9253,-3.6444
26,-0.0861,-0.0089,-13.3815,-1.5838,-3.566,-4.835,-4.4008,-0.295,-2.8789,-0.0944,-10.5234,-5.0071,-3.8664,-4.6439,-3.9334,[-3.4129],-4.1548,[-0.002],-3.5619,[-6.4655],-1.5794,-3.3593,-86.4353,-7.9555,-3.6624
27,-0.0862,-0.0088,-13.4056,-1.5907,-3.587,-4.8664,-4.4275,-0.2958,-2.8842,-0.0943,-10.5552,-5.0353,-3.8927,-4.6686,-3.9522,[-3.4179],-4.1803,[-0.002],-3.5857,[-6.4663],-1.5797,-3.3778,-86.5282,-7.9763,-3.6784
28,-0.0862,-0.0088,-13.4377,-1.5956,-3.6073,-4.8979,-4.4512,-0.2961,-2.8879,-0.0944,-10.5924,-5.062,-3.9177,-4.6939,-3.9655,[-3.4189],-4.2044,[-0.002],-3.6087,[-6.4696],-1.5821,-3.3951,-86.686,-8.0024,-3.6926
29,-0.0864,-0.0088,-13.4593,-1.5979,-3.6272,-4.9255,-4.4693,-0.2963,-2.893,-0.0944,-10.6303,-5.0834,-3.9411,-4.7153,-3.9827,[-3.4199],-4.2266,"['*', -0.002]",-3.631,[-6.4742],-1.5833,-3.41,-86.7884,-8.0174,-3.7059
