,date,lat,lng,thunder,snow,minhumidity,coolingdegreedays,maxdewptm,heatingdegreedays,meanpressurem,rain,minwspdm,fog,humidity,gdegreedays,mindewptm,minpressurem,maxtempm,meanwindspdm,maxpressurem,hail,meandewptm,maxwspdm,precipm,meantempm,meanwdird,maxhumidity,mintempm
51,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,8.0,0.0,0.0,8.0,1016.0,0.0,13.0,0.0,29.0,6.0,-4.0,1012.0,25.0,10.0,1019.0,0.0,-2.0,15.0,0.0,14.0,-1.0,50.0,4.0
52,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,8.0,0.0,8.0,4.0,1010.25,0.0,17.0,0.0,29.0,11.0,-3.0,1009.0,27.0,18.0,1012.0,0.0,0.0,37.0,0.0,16.0,-1.0,45.0,7.0
53,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,10.0,0.0,6.0,12.0,1011.5,0.0,6.0,0.0,57.0,4.0,-2.0,1008.0,25.0,9.0,1014.0,0.0,3.0,20.0,0.0,12.0,-1.0,99.0,3.0
54,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,10.0,0.0,2.0,2.0,1003.0,0.0,20.0,0.0,24.0,14.0,0.0,999.0,28.0,21.0,1006.0,0.0,1.0,33.0,0.0,18.0,-1.0,51.0,8.0
55,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,6.0,0.0,-3.0,6.0,1018.0,0.0,15.0,0.0,18.0,9.0,-6.0,1014.0,25.0,16.0,1020.0,0.0,-4.0,35.0,0.0,14.0,-1.0,30.0,6.0
56,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,16.0,0.0,16.0,2.0,1010.5,0.0,20.0,0.0,54.0,12.0,-3.0,1007.0,22.0,16.0,1013.0,0.0,8.0,26.0,0.0,17.0,-1.0,94.0,13.0
57,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,88.0,0.0,16.0,12.0,1005.25,0.0,17.0,0.0,93.0,2.0,4.0,1001.0,16.0,20.0,1011.0,0.0,10.0,43.0,0.0,11.0,-1.0,99.0,6.0
58,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,52.0,0.0,0.0,32.0,1021.75,0.0,24.0,0.0,64.0,0.0,-4.0,1017.0,4.0,18.0,1025.0,0.0,-3.0,26.0,0.0,2.0,-1.0,80.0,0.0
59,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,27.0,0.0,-2.0,30.0,1028.75,0.0,9.0,0.0,55.0,0.0,-5.0,1028.0,9.0,11.0,1030.0,0.0,-4.0,20.0,0.0,2.0,-1.0,76.0,-1.0
60,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,21.0,0.0,-1.0,20.0,1017.75,0.0,18.0,0.0,36.0,0.0,-5.0,1016.0,11.0,19.0,1021.0,0.0,-3.0,35.0,0.0,6.0,-1.0,53.0,4.0
61,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,17.0,0.0,-2.0,26.0,1023.0,0.0,4.0,0.0,48.0,0.0,-5.0,1019.0,13.0,4.0,1025.0,0.0,-3.0,9.0,0.0,4.0,-1.0,80.0,-3.0
62,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,52.0,0.0,4.0,22.0,1026.25,0.0,15.0,0.0,60.0,0.0,1.0,1024.0,9.0,14.0,1027.0,0.0,2.0,26.0,0.0,6.0,-1.0,73.0,4.0
63,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,97.0,0.0,10.0,19.0,1017.25,0.0,9.0,0.0,98.0,0.0,6.0,1014.0,11.0,10.0,1021.0,0.0,8.0,18.0,0.0,8.0,-1.0,100.0,6.0
64,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,31.0,0.0,8.0,18.0,1014.25,0.0,13.0,0.0,68.0,0.0,4.0,1013.0,17.0,12.0,1015.0,0.0,5.0,26.0,0.0,9.0,-1.0,100.0,3.0
65,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,28.0,0.0,7.0,13.0,1011.5,0.0,7.0,0.0,54.0,2.0,5.0,1008.0,21.0,9.0,1014.0,0.0,6.0,17.0,0.0,11.0,-1.0,80.0,5.0
66,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,93.0,0.0,11.0,19.0,1009.0,0.0,32.0,0.0,97.0,0.0,4.0,1008.0,6.0,32.0,1010.0,0.0,7.0,63.0,0.0,8.0,-1.0,100.0,2.0
67,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,87.0,0.0,0.0,32.0,1024.5,0.0,28.0,0.0,92.0,0.0,-1.0,1017.0,8.0,30.0,1030.0,0.0,0.0,50.0,0.0,1.0,-1.0,98.0,0.0
68,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,76.0,0.0,-3.0,26.0,1028.75,0.0,7.0,0.0,76.0,0.0,-3.0,1025.0,15.0,7.0,1031.0,0.0,-3.0,13.0,0.0,4.0,-1.0,76.0,-3.0
69,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,14.0,2.0,11.0,0.0,1006.25,0.0,11.0,0.0,36.0,18.0,5.0,1006.0,29.0,10.0,1007.0,0.0,7.0,22.0,0.0,20.0,-1.0,76.0,12.0
70,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,30.0,0.0,6.0,12.0,1014.0,0.0,13.0,0.0,50.0,3.0,5.0,1009.0,18.0,14.0,1017.0,0.0,6.0,22.0,0.0,12.0,-1.0,75.0,7.0
71,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,63.0,0.0,14.0,12.0,1013.25,0.0,6.0,0.0,82.0,4.0,5.0,1010.0,18.0,8.0,1016.0,0.0,10.0,17.0,0.0,12.0,-1.0,91.0,9.0
72,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,36.0,0.0,7.0,20.0,1022.0,0.0,33.0,0.0,62.0,0.0,-2.0,1016.0,11.0,25.0,1027.0,0.0,2.0,35.0,0.0,6.0,-1.0,79.0,4.0
73,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,16.0,0.0,-3.0,28.0,1030.5,0.0,11.0,0.0,44.0,0.0,-7.0,1028.0,11.0,12.0,1032.0,0.0,-4.0,18.0,0.0,4.0,-1.0,67.0,-1.0
74,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,30.0,0.0,13.0,6.0,1009.75,0.0,13.0,0.0,58.0,10.0,5.0,1009.0,20.0,16.0,1010.0,0.0,10.0,28.0,0.0,16.0,-1.0,83.0,12.0
75,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,19.0,0.0,3.0,8.0,1013.0,0.0,17.0,0.0,32.0,8.0,0.0,1011.0,19.0,17.0,1015.0,0.0,2.0,33.0,0.0,14.0,-1.0,44.0,12.0
76,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,20.0,0.0,6.0,10.0,1018.75,0.0,9.0,0.0,47.0,6.0,3.0,1017.0,24.0,10.0,1020.0,0.0,5.0,20.0,0.0,14.0,-1.0,76.0,3.0
77,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,53.0,0.0,15.0,5.0,1010.75,0.0,6.0,0.0,69.0,10.0,10.0,1005.0,20.0,12.0,1017.0,0.0,13.0,28.0,0.0,16.0,-1.0,96.0,15.0
78,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,34.0,0.0,13.0,2.0,1005.25,0.0,4.0,0.0,62.0,12.0,11.0,1004.0,23.0,8.0,1006.0,0.0,13.0,15.0,0.0,17.0,-1.0,84.0,12.0
79,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,41.0,4.0,15.0,0.0,1002.75,0.0,15.0,0.0,59.0,18.0,11.0,1001.0,24.0,17.0,1005.0,0.0,13.0,39.0,0.0,20.0,-1.0,84.0,17.0
80,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,21.0,0.0,10.0,6.0,1009.75,0.0,4.0,0.0,58.0,9.0,6.0,1008.0,24.0,8.0,1011.0,0.0,9.0,15.0,0.0,14.0,-1.0,91.0,7.0
81,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,30.0,0.0,12.0,0.0,1011.25,0.0,4.0,0.0,50.0,15.0,10.0,1010.0,25.0,6.0,1012.0,0.0,11.0,11.0,0.0,18.0,-1.0,74.0,13.0
82,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,18.0,4.0,11.0,0.0,1009.25,0.0,13.0,0.0,36.0,18.0,8.0,1006.0,29.0,15.0,1012.0,0.0,9.0,35.0,0.0,20.0,-1.0,52.0,12.0
83,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,40.0,2.0,17.0,0.0,1005.25,0.0,22.0,0.0,55.0,18.0,10.0,1005.0,27.0,20.0,1006.0,0.0,14.0,30.0,0.0,20.0,-1.0,63.0,15.0
84,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,32.0,0.0,11.0,6.0,1010.75,0.0,4.0,0.0,58.0,8.0,9.0,1009.0,25.0,6.0,1013.0,0.0,10.0,18.0,0.0,14.0,-1.0,83.0,7.0
85,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,29.0,0.0,10.0,13.0,1018.0,0.0,9.0,0.0,62.0,2.0,4.0,1014.0,18.0,11.0,1021.0,0.0,7.0,20.0,0.0,11.0,-1.0,88.0,8.0
86,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,21.0,0.0,6.0,9.0,1019.75,0.0,6.0,0.0,41.0,6.0,4.0,1017.0,23.0,11.0,1022.0,0.0,5.0,32.0,0.0,13.0,-1.0,63.0,5.0
87,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,38.0,0.0,12.0,4.0,1014.25,0.0,17.0,0.0,68.0,10.0,7.0,1012.0,25.0,17.0,1017.0,0.0,10.0,39.0,0.0,16.0,-1.0,83.0,8.0
88,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,25.0,0.0,7.0,14.0,1020.25,0.0,6.0,0.0,56.0,1.0,3.0,1018.0,19.0,6.0,1022.0,0.0,5.0,11.0,0.0,10.0,-1.0,86.0,4.0
89,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,49.0,0.0,13.0,12.0,1014.0,0.0,7.0,0.0,72.0,2.0,5.0,1009.0,18.0,8.0,1019.0,0.0,9.0,15.0,0.0,12.0,-1.0,85.0,10.0
90,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,26.0,0.0,13.0,4.0,1008.25,0.0,7.0,0.0,64.0,12.0,8.0,1008.0,24.0,7.0,1009.0,0.0,11.0,11.0,0.0,16.0,-1.0,94.0,12.0
91,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,44.0,0.0,15.0,4.0,1007.5,0.0,7.0,0.0,70.0,10.0,12.0,1005.0,22.0,10.0,1011.0,0.0,13.0,28.0,0.0,16.0,-1.0,90.0,12.0
92,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,42.0,0.0,16.0,1.0,1016.0,0.0,4.0,0.0,65.0,14.0,13.0,1016.0,26.0,4.0,1017.0,0.0,14.0,11.0,0.0,18.0,-1.0,89.0,11.0
93,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,34.0,0.0,16.0,0.0,1017.0,0.0,6.0,0.0,59.0,16.0,13.0,1015.0,28.0,6.0,1018.0,0.0,14.0,13.0,0.0,18.0,-1.0,86.0,11.0
94,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,66.0,2.0,20.0,0.0,1011.0,0.0,7.0,0.0,70.0,17.0,15.0,1008.0,24.0,9.0,1014.0,0.0,17.0,15.0,0.0,20.0,-1.0,77.0,17.0
95,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,48.0,2.0,17.0,0.0,1009.25,0.0,9.0,0.0,73.0,16.0,13.0,1008.0,27.0,8.0,1010.0,0.0,16.0,15.0,0.0,19.0,-1.0,98.0,13.0
96,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,56.0,0.0,17.0,0.0,1010.0,0.0,7.0,0.0,73.0,14.0,15.0,1008.0,22.0,9.0,1012.0,0.0,16.0,18.0,0.0,18.0,-1.0,88.0,14.0
97,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,52.0,0.0,16.0,2.0,1013.5,0.0,6.0,0.0,72.0,13.0,14.0,1012.0,24.0,5.0,1014.0,0.0,14.0,7.0,0.0,17.0,-1.0,92.0,12.0
98,7,0.8759371183446542,-1.6951510359994924,0.0,0.0,51.0,0.0,16.0,0.0,1012.5,0.0,4.0,0.0,68.0,15.0,13.0,1012.0,24.0,5.0,1013.0,0.0,15.0,11.0,0.0,18.0,-1.0,90.0,13.0
99,7,0.8759371183446542,-1.6951510359994924,0.0,0.0,74.0,1.0,19.0,0.0,1011.25,0.0,4.0,0.0,80.0,16.0,15.0,1010.0,25.0,7.0,1012.0,0.0,17.0,13.0,0.0,18.0,-1.0,89.0,14.0
100,7,0.8759371183446542,-1.6951510359994924,0.0,0.0,45.0,1.0,17.0,0.0,1011.5,0.0,4.0,0.0,73.0,16.0,14.0,1011.0,26.0,5.0,1012.0,0.0,16.0,9.0,0.0,19.0,-1.0,97.0,13.0
101,7,0.8759371183446542,-1.6951510359994924,0.0,0.0,63.0,6.0,20.0,0.0,1007.0,0.0,11.0,0.0,74.0,20.0,15.0,1003.0,28.0,13.0,1010.0,0.0,18.0,28.0,0.0,21.0,-1.0,86.0,16.0
114,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,24.0,0.0,3.0,10.0,1020.0,0.0,11.0,0.0,24.0,4.0,3.0,1017.0,22.0,12.0,1023.0,0.0,3.0,26.0,0.0,12.0,-1.0,24.0,4.0
115,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,23.0,0.0,3.0,18.0,1020.5,0.0,6.0,0.0,51.0,0.0,1.0,1019.0,19.0,7.0,1022.0,0.0,2.0,17.0,0.0,8.0,-1.0,86.0,0.0
116,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,10.0,3.0,2.0,0.0,1017.0,0.0,11.0,0.0,18.0,18.0,1.0,1016.0,28.0,10.0,1018.0,0.0,2.0,17.0,0.0,20.0,-1.0,31.0,13.0
117,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,17.0,0.0,2.0,12.0,1024.25,0.0,7.0,0.0,33.0,2.0,0.0,1021.0,21.0,9.0,1027.0,0.0,1.0,24.0,0.0,11.0,-1.0,51.0,4.0
118,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,23.0,0.0,9.0,1.0,1021.5,0.0,4.0,0.0,41.0,14.0,7.0,1019.0,26.0,9.0,1023.0,0.0,8.0,18.0,0.0,18.0,-1.0,63.0,11.0
119,6,0.8759371183446542,-1.6951510359994924,0.0,0.0,40.0,0.0,13.0,2.0,1013.5,0.0,9.0,0.0,60.0,13.0,11.0,1013.0,23.0,11.0,1014.0,0.0,12.0,18.0,0.0,18.0,-1.0,83.0,12.0
123,5,0.8759371183446542,-1.6951510359994924,0.0,0.0,13.0,0.0,8.0,2.0,1008.25,0.0,2.0,0.0,38.0,13.0,4.0,1006.0,28.0,4.0,1011.0,0.0,6.0,7.0,0.0,17.0,-1.0,72.0,8.0
124,6,0.8733038629678678,-1.6907184806167874,0.0,0.0,29.0,5.0,15.0,0.0,1003.69,0.0,2.0,0.0,59.0,20.0,10.0,1003.0,24.0,6.0,1006.0,0.0,13.0,17.0,0.0,21.0,174.0,73.0,18.0
125,9,0.8008427615389563,-1.163623288640398,0.0,0.0,26.0,0.0,13.0,0.0,1026.67,0.0,6.0,0.0,68.0,15.0,6.0,1025.0,27.0,9.0,1028.0,0.0,10.0,17.0,0.0,18.0,215.0,94.0,10.0
127,5,0.8010674747716482,-1.1371742894407102,0.0,0.0,31.0,0.0,10.0,8.0,1023.05,0.0,0.0,1.0,72.0,8.0,5.0,1022.0,23.0,5.0,1024.0,0.0,8.0,17.0,0.0,14.0,181.0,100.0,6.0
128,5,0.8061481889489382,-1.1631165023498937,0.0,0.0,32.0,0.0,13.0,8.0,1002.26,1.0,0.0,0.0,66.0,7.0,-1.0,1000.0,20.0,11.0,1008.0,0.0,6.0,26.0,0.0,14.0,247.0,94.0,8.0
129,6,0.8061481889489382,-1.1631165023498937,1.0,0.0,30.0,2.0,17.0,0.0,1011.13,1.0,0.0,0.0,60.0,17.0,7.0,1008.0,29.0,8.0,1014.0,0.0,11.0,20.0,0.0,20.0,215.0,87.0,10.0
130,6,0.8061481889489382,-1.1631165023498937,1.0,0.0,30.0,2.0,17.0,0.0,1011.13,1.0,0.0,0.0,60.0,17.0,7.0,1008.0,29.0,8.0,1014.0,0.0,11.0,20.0,0.0,20.0,215.0,87.0,10.0
131,5,0.8010674747716482,-1.1371742894407102,0.0,0.0,62.0,0.0,9.0,18.0,1020.2,1.0,0.0,0.0,81.0,0.0,2.0,1017.0,10.0,15.0,1025.0,0.0,6.0,28.0,0.0,8.0,59.0,94.0,7.0
132,4,0.779928301521698,-1.165330161617834,0.0,0.0,83.0,0.0,10.0,16.0,1001.0,0.0,13.0,0.0,93.0,0.0,4.0,996.0,11.0,13.0,1005.0,0.0,8.0,26.0,13.0,10.0,-1.0,99.0,5.0
133,4,0.779928301521698,-1.165330161617834,0.0,0.0,40.0,0.0,5.0,18.0,1014.25,0.0,6.0,0.0,73.0,0.0,3.0,1008.0,12.0,9.0,1020.0,0.0,4.0,15.0,0.0,8.0,-1.0,93.0,5.0
134,5,0.7961127396754415,-1.134839259585493,0.0,0.0,19.0,0.0,7.0,6.0,1010.07,0.0,0.0,0.0,51.0,9.0,0.0,1008.0,25.0,10.0,1011.0,0.0,4.0,28.0,0.0,15.0,222.0,93.0,5.0
138,5,0.779928301521698,-1.165330161617834,0.0,0.0,34.0,0.0,1.0,24.0,1012.21,0.0,0.0,0.0,64.0,0.0,-6.0,995.0,9.0,13.0,1018.0,0.0,-2.0,37.0,0.0,5.0,252.0,87.0,1.0
139,5,0.779928301521698,-1.165330161617834,0.0,0.0,33.0,0.0,2.0,19.0,1016.92,0.0,4.0,0.0,62.0,0.0,-2.0,1014.0,14.0,35.0,1018.0,0.0,0.0,182.0,0.0,8.0,173.0,100.0,2.0
140,6,0.8080779365735736,-1.1268686467873248,0.0,0.0,32.0,0.0,13.0,4.0,1019.15,0.0,0.0,0.0,69.0,12.0,8.0,1016.0,24.0,10.0,1021.0,0.0,11.0,17.0,0.0,16.0,205.0,100.0,9.0
141,5,0.8010674747716482,-1.1371742894407102,0.0,0.0,19.0,0.0,6.0,11.0,1023.54,0.0,0.0,0.0,53.0,4.0,1.0,1020.0,23.0,7.0,1026.0,0.0,4.0,26.0,0.0,12.0,201.0,93.0,1.0
142,6,0.8010674747716482,-1.1371742894407102,0.0,0.0,63.0,0.0,16.0,2.0,1015.5,0.0,7.0,0.0,84.0,12.0,12.0,1013.0,22.0,7.0,1017.0,0.0,15.0,15.0,0.0,16.0,-1.0,95.0,11.0
143,6,0.8010674747716482,-1.1371742894407102,0.0,0.0,18.0,0.0,5.0,6.0,1015.5,0.0,6.0,0.0,37.0,9.0,1.0,1015.0,20.0,5.0,1017.0,0.0,3.0,9.0,0.0,14.0,-1.0,51.0,9.0
144,6,0.8010674747716482,-1.1371742894407102,0.0,0.0,22.0,0.0,9.0,3.0,1011.5,0.0,6.0,0.0,42.0,12.0,5.0,1008.0,23.0,6.0,1015.0,0.0,7.0,17.0,0.0,16.0,-1.0,54.0,10.0
145,5,0.8010674747716482,-1.1371742894407102,0.0,0.0,20.0,0.0,5.0,16.0,1006.25,0.0,9.0,0.0,44.0,0.0,-1.0,1004.0,18.0,8.0,1008.0,0.0,1.0,13.0,0.0,10.0,-1.0,58.0,3.0
146,7,0.8010674747716482,-1.1371742894407102,0.0,0.0,47.0,3.0,17.0,0.0,1016.0,0.0,11.0,0.0,77.0,18.0,13.0,1013.0,25.0,10.0,1019.0,0.0,15.0,15.0,0.0,20.0,-1.0,100.0,15.0
147,4,0.8092975432573616,-1.1313295564170756,0.0,0.0,50.0,0.0,15.0,0.0,1012.75,0.0,17.0,0.0,63.0,16.0,11.0,1012.0,25.0,14.0,1014.0,0.0,13.0,22.0,0.0,18.0,-1.0,75.0,13.0
148,5,0.7932954291968722,-1.1501836707702513,0.0,0.0,87.0,0.0,11.0,17.0,1009.1,1.0,7.0,1.0,98.0,0.0,6.0,1001.0,11.0,14.0,1021.0,0.0,9.0,24.0,12.0,8.0,169.0,100.0,6.0
149,5,0.8200621476713077,-1.1403614813388032,0.0,0.0,58.0,0.0,6.0,18.0,1017.84,0.0,0.0,0.0,71.0,0.0,3.0,1017.0,12.0,12.0,1019.0,0.0,4.0,24.0,0.0,8.0,35.0,87.0,5.0
150,5,0.8124461244730831,-1.1326297061909694,0.0,0.0,32.0,0.0,7.0,14.0,1021.74,1.0,9.0,0.0,56.0,2.0,-1.0,1018.0,19.0,20.0,1024.0,0.0,2.0,48.0,0.0,11.0,201.0,81.0,3.0
151,6,0.8010674747716482,-1.1371742894407102,0.0,0.0,77.0,0.0,12.0,13.0,1017.77,0.0,0.0,1.0,91.0,2.0,7.0,1014.0,16.0,9.0,1020.0,0.0,9.0,26.0,0.0,12.0,220.0,100.0,7.0
152,4,0.779928301521698,-1.165330161617834,0.0,0.0,83.0,0.0,10.0,16.0,1001.0,0.0,13.0,0.0,93.0,0.0,4.0,996.0,11.0,13.0,1005.0,0.0,8.0,26.0,13.0,10.0,-1.0,99.0,5.0
154,5,0.8010674747716482,-1.1371742894407102,0.0,0.0,72.0,0.0,10.0,16.0,1019.05,0.0,17.0,0.0,81.0,0.0,3.0,1018.0,14.0,23.0,1020.0,0.0,7.0,37.0,2.0,10.0,67.0,93.0,5.0
