id,date,lat,lng,tornado,monthtodatesnowfalli,thunder,meantempi,snow,meanvism,meanwdire,minhumidity,maxvism,since1jancoolingdegreedays,coolingdegreedays,maxdewptm,monthtodatecoolingdegreedays,since1sepheatingdegreedays,precipi,heatingdegreedays,meanpressurem,since1julsnowfallm,monthtodatesnowfallm,precipsource,rain,minwspdm,since1sepcoolingdegreedaysnormal,meanwindspdi,monthtodateheatingdegreedaysnormal,snowfallm,fog,humidity,minwspdi,meanpressurei,gdegreedays,since1julheatingdegreedays,mindewptm,maxwspdi,minpressurem,coolingdegreedaysnormal,maxtempm,minvisi,meanwindspdm,mintempi,maxpressurem,since1sepheatingdegreedaysnormal,hail,meandewptm,maxwspdm,precipm,meantempm,since1julheatingdegreedaysnormal,snowfalli,monthtodateheatingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,maxpressurei,minvism,minpressurei,maxvisi,heatingdegreedaysnormal,since1jancoolingdegreedaysnormal,snowdepthm,meanwdird,meandewpti,meanvisi,maxhumidity,snowdepthi,mintempm,since1julsnowfalli,maxtempi,maxdewpti,mindewpti
12,20050910,46.328384875254,-62.687812992743,0,,0,57,0,,NW,46,,,0,13,,,0.00,8,1013.70,,,Precip24Synop,0,4,,8,,,0,77,2,29.94,7,,7,20,1012,,18,,12,50,1016,,0,10,32,0.0,14,,,,,,30.01,,29.90,,,,,326,50,,94,,10,,64,55,45

13,20170501,46.35288,-62.96336,0,,0,39,0,24.1,SSW,29,32.2,,0,3,,,0.16,26,1023.22,,,Precip6GroupSynop,1,4,,7,,,0,62,2,30.22,0,,-7,15,1020,,9,10.0,11,30,1025,,0,-1,24,4.0,4,,,,,,30.28,16.1,30.12,20.0,,,,196,29,15.0,87,,-1,,48,37,19

14,20170504,46.27925,-63.14248,0,,0,49,0,22.5,NW,22,24.1,,0,7,,,0.03,16,1014.93,,,Precip6GroupSynop,1,0,,11,,,0,63,0,29.98,0,,-2,22,1005,,15,5.0,17,39,1023,,0,2,35,0.8,10,,,,,,30.21,8.0,29.69,15.0,,,,312,35,14.0,93,,4,,59,45,28

15,20080428,46.444667092432006,-63.414965963875,0,,0,37,0,,NNE,77,,,0,5,,,0.00,28,1022.84,,,3Or6HourObs,0,2,,7,,,0,90,1,30.21,0,,-2,13,1021,,7,,11,29,1025,,0,2,20,0.0,3,,,,,,30.26,,30.15,,,,,12,35,,99,,-1,,45,41,29

16,20100827,46.221158827072,-63.060877025127,0,,0,68,0,23.0,West,57,24.1,,3,18,,,0.00,0,1010.51,,,Precip24Synop,1,0,,6,,,0,83,0,29.84,18,,15,14,1006,,24,8.0,10,61,1014,,0,16,22,0.0,20,,,,,,29.95,12.9,29.72,15.0,,,,274,62,14.3,100,,16,,75,64,59

17,20110701,46.402574,-63.795041,0,,0,60,0,,NW,79,,,0,16,,,0.00,5,1010.98,,,3Or6HourObs,0,6,,6,,,0,91,4,29.86,10,,11,13,1007,,18,,10,53,1016,,0,14,20,0.0,16,,,,,,30.01,,29.74,,,,,325,58,,96,,12,,64,62,51

18,20170506,46.40005,-63.19265,0,,0,50,0,,SE,44,,,0,12,,,0.00,16,1017.34,,,Precip24Synop,0,15,,13,,,0,84,9,30.05,0,,1,24,1014,,13,,22,43,1023,,0,8,39,0.0,10,,,,,,30.20,,29.93,,,,,132,46,,93,,6,,56,53,33

19,20170507,46.36257,-63.17369,0,,0,60,0,,SE,82,,,0,15,,,0.00,6,1011.15,,,Precip24Synop,0,18,,18,,,0,88,12,29.86,10,,12,24,1010,,18,,29,55,1013,,0,13,39,0.0,15,,,,,,29.92,,29.83,,,,,145,55,,92,,12,,64,60,53

20,20180605,46.35116,-63.02977,0,,0,44,0,,East,60,,,0,4,,,0.01,20,1007.92,,,Precip6GroupSynop,0,7,,7,,,0,74,5,29.77,0,,1,14,1005,,8,,11,42,1014,,0,3,22,0.2,7,,,,,,29.95,,29.69,,,,,86,37,,85,,6,,47,40,34

21,20050424,46.271585679097996,-62.853738730042,0,,0,52,0,17.5,SE,54,24.1,,0,12,,,0.35,12,1015.46,,,Precip6GroupSynop,1,11,,10,,,1,85,7,29.99,2,,2,23,1014,,18,0.2,17,41,1018,,0,8,37,9.0,12,,,,,,30.06,0.4,29.94,15.0,,,,130,46,10.9,100,,5,,64,54,36

22,20100405,46.703737,-64.104108,0,,0,46,0,,SW,33,,,0,2,,,0.00,18,1013.60,,,3Or6HourObs,0,13,,12,,,0,61,8,29.94,0,,-1,20,1010,,12,,19,39,1017,,0,0,32,0.0,8,,,,,,30.02,,29.84,,,,,236,33,,86,,4,,54,36,30

23,20120425,46.323728022354004,-62.918931045731,0,,0,51,0,15.7,North,72,24.1,,0,12,,,0.24,14,1010.10,,,Precip6GroupSynop,1,0,,4,,,1,93,0,29.83,1,,6,10,1006,,14,0.8,6,44,1014,,0,9,17,6.0,10,,,,,,29.94,1.2,29.71,15.0,,,,360,48,9.8,100,,7,,58,54,43

24,20170508,46.40391,-63.06518,0,,0,58,0,,SSE,37,,,0,14,,,0.08,8,1009.27,,,Precip6GroupSynop,0,11,,13,,,0,78,7,29.81,8,,4,21,1007,,18,,21,48,1015,,0,10,33,2.0,14,,,,,,29.98,,29.74,,,,,148,50,,99,,9,,65,57,38

25,20170517,46.35102,-63.0286,0,,0,54,0,,NW,27,,,0,6,,,0.00,12,1006.83,,,3Or6HourObs,0,4,,10,,,0,51,2,29.73,4,,1,16,1003,,17,,16,45,1009,,0,3,26,0.0,12,,,,,,29.81,,29.63,,,,,307,38,,74,,7,,63,43,33

26,20170517,46.26985,-63.13987,0,,0,54,0,24.1,NW,26,24.1,,0,7,,,0.00,10,1007.63,,,3Or6HourObs,0,0,,10,,,0,52,0,29.76,4,,2,20,1004,,18,15.0,16,45,1010,,0,4,32,0.0,12,,,,,,29.83,24.1,29.65,15.0,,,,307,40,15.0,82,,7,,64,45,36

27,20050426,46.271585679097996,-62.853738730042,0,,0,47,0,24.1,West,45,24.1,,0,5,,,0.00,18,1014.76,,,3Or6HourObs,0,0,,6,,,0,76,0,29.97,0,,2,13,1008,,13,15.0,9,37,1022,,0,3,20,0.0,8,,,,,,30.19,24.1,29.76,15.0,,,,261,37,15.0,93,,3,,56,41,36

28,20050429,46.271585679097996,-62.853738730042,0,,0,46,0,21.5,SSE,25,24.1,,0,6,,,0.08,19,1013.21,,,Precip6GroupSynop,1,7,,19,,,0,74,5,29.92,0,,-2,33,1008,,13,7.0,31,36,1021,,0,3,54,2.0,8,,,,,,30.14,12.0,29.77,15.0,,,,160,37,13.3,93,,2,,56,43,28

29,20050504,46.271585679097996,-62.853738730042,0,,0,48,0,22.8,SW,27,24.1,,0,5,,,0.00,16,1022.66,,,3Or6HourObs,0,0,,7,,,0,65,0,30.20,0,,0,15,1018,,15,8.0,10,38,1026,,0,2,24,0.0,9,,,,,,30.31,12.9,30.07,15.0,,,,223,36,14.2,93,,3,,59,41,32

30,20050508,46.271585679097996,-62.853738730042,0,,0,44,0,18.9,ENE,61,24.1,,0,4,,,0.31,22,1018.01,,,Precip6GroupSynop,1,15,,15,,,0,79,9,30.06,0,,1,24,1017,,9,6.0,25,39,1021,,0,2,39,8.0,6,,,,,,30.14,9.7,30.03,15.0,,,,72,36,11.8,87,,3,,48,39,34

31,20050509,46.271585679097996,-62.853738730042,0,,0,46,0,18.7,NNE,69,24.1,,0,7,,,0.00,20,1018.70,,,Precip6GroupSynop,1,9,,9,,,1,85,6,30.09,0,,1,15,1018,,12,0.4,14,35,1020,,0,4,24,0.0,8,,,,,,30.11,0.6,30.06,15.0,,,,23,39,11.7,93,,2,,54,45,34

32,20050511,46.271585679097996,-62.853738730042,0,,0,49,0,13.1,North,71,24.1,,0,12,,,0.00,16,1014.99,,,3Or6HourObs,0,4,,4,,,1,88,2,29.98,0,,1,9,1011,,17,0.0,6,35,1018,,0,6,15,0.0,9,,,,,,30.07,0.6,29.87,15.0,,,,3,43,8.1,100,,1,,63,54,34

33,20050521,46.271585679097996,-62.853738730042,0,,0,42,0,10.2,North,87,24.1,,0,8,,,0.01,22,1016.33,,,Precip6GroupSynop,1,7,,8,,,1,97,5,30.02,0,,3,16,1011,,9,0.2,13,37,1020,,0,5,26,0.3,6,,,,,,30.13,0.4,29.87,15.0,,,,5,41,6.4,100,,3,,48,46,37

34,20050529,46.271585679097996,-62.853738730042,0,,0,50,0,12.1,East,82,24.1,,0,12,,,0.00,16,1009.43,,,Precip6GroupSynop,1,0,,4,,,1,96,0,29.81,0,,6,10,1008,,13,0.2,7,42,1011,,0,9,17,0.0,9,,,,,,29.86,0.4,29.76,15.0,,,,82,48,7.5,100,,5,,57,54,43

35,20050605,46.271585679097996,-62.853738730042,0,,0,49,0,23.9,NE,47,24.1,,0,8,,,0.00,16,1015.95,,,Precip6GroupSynop,1,0,,4,,,0,75,0,30.01,0,,2,14,1012,,13,12.0,7,41,1022,,0,5,22,0.0,10,,,,,,30.17,19.3,29.90,15.0,,,,51,41,14.9,93,,5,,56,46,36

36,20050614,46.271585679097996,-62.853738730042,0,,0,56,0,24.1,East,38,24.1,,0,10,,,0.00,9,1012.13,,,3Or6HourObs,0,9,,9,,,0,72,6,29.89,6,,6,17,1009,,18,15.0,15,46,1013,,0,8,28,0.0,13,,,,,,29.91,24.1,29.80,15.0,,,,98,46,15.0,100,,8,,65,50,43

37,20080504,46.444667092432006,-63.414965963875,0,,0,44,0,,ENE,36,,,0,6,,,0.01,21,1020.73,,,Precip6GroupSynop,0,0,,3,,,0,76,0,30.15,0,,-2,9,1018,,16,,5,27,1023,,0,2,15,0.2,7,,,,,,30.22,,30.07,,,,,59,36,,100,,-2,,61,43,28

38,20110505,46.400787170425,-63.267624378204005,0,,0,56,0,,SSE,76,,,0,13,,,0.20,10,1012.96,,,Precip6GroupSynop,0,20,,15,,,0,88,13,29.92,6,,9,20,1011,,16,,24,50,1015,,0,12,32,5.0,13,,,,,,29.98,,29.85,,,,,157,53,,94,,10,,61,56,48

39,20110511,46.408777190247,-63.795161247253,0,,0,44,0,,ENE,78,,,0,5,,,0.01,21,1022.18,,,Precip6GroupSynop,0,33,,21,,,0,87,21,30.19,0,,4,29,1021,,9,,34,40,1023,,0,4,46,0.3,6,,,,,,30.22,,30.17,,,,,57,39,,95,,4,,48,41,38

40,20110509,46.438330088482,-64.12742257118201,0,,0,40,0,,NE,90,,,0,4,,,0.16,26,1015.62,,,Precip6GroupSynop,0,26,,19,,,0,95,16,30.00,0,,3,31,1015,,5,,30,38,1016,,0,4,50,4.0,4,,,,,,30.01,,29.97,,,,,38,39,,96,,3,,41,40,38

41,20140603,45.99621,-62.51826,0,,0,54,0,,SE,44,,,0,12,,,0.00,10,1019.40,,,3Or6HourObs,0,7,,8,,,0,71,5,30.10,4,,4,20,1017,,16,,13,48,1021,,0,8,32,0.0,12,,,,,,30.16,,30.04,,,,,126,47,,91,,9,,61,54,40

42,20170506,46.4052,-63.10629,0,,0,50,0,,SE,44,,,0,12,,,0.00,16,1017.34,,,Precip24Synop,0,15,,13,,,0,84,9,30.05,0,,1,24,1014,,13,,22,43,1023,,0,8,39,0.0,10,,,,,,30.20,,29.93,,,,,132,46,,93,,6,,56,53,33

43,20170518,46.35072,-63.0309,0,,0,62,0,,SSE,45,,,0,15,,,0.01,2,1005.70,,,Precip6GroupSynop,0,2,,4,,,0,65,1,29.70,12,,8,12,1002,,24,,7,50,1009,,0,11,18,0.3,17,,,,,,29.80,,29.59,,,,,147,52,,87,,10,,75,59,46

44,20180603,46.31575,-63.15061,0,,0,38,0,,North,61,,,0,3,,,0.00,27,1018.05,,,Precip24Synop,0,2,,17,,,0,77,1,30.07,0,,-2,24,1013,,5,,28,33,1021,,0,1,39,0.0,3,,,,,,30.15,,29.93,,,,,6,33,,89,,1,,42,38,29

45,20180522,46.39307,-63.1244,0,,0,48,0,,South,21,,,0,2,,,0.00,16,1019.37,,,Precip24Synop,0,0,,5,,,0,51,0,30.11,0,,-2,18,1015,,18,,7,32,1023,,0,-0,30,0.0,9,,,,,,30.22,,29.97,,,,,183,32,,85,,0,,65,36,29

46,20180602,46.39389,-63.12812,0,,0,54,0,,NW,79,,,0,16,,,1.26,12,1003.86,,,Precip6GroupSynop,0,0,,10,,,0,91,0,29.65,4,,5,25,1001,,18,,16,42,1011,,0,11,41,32.0,12,,,,,,29.87,,29.56,,,,,307,51,,95,,6,,64,62,41

47,20080514,49.850000000000,-97.110000000000,0,,0,56,0,,SW,22,,,0,6,,,0.00,9,1011.46,,,3Or6HourObs,0,6,,5,,,0,50,4,29.87,6,,1,10,1010,,21,,8,43,1013,,0,3,17,0.0,14,,,,,,29.92,,29.84,,,,,219,37,,74,,6,,69,43,33

48,20080514,49.840000000000,-97.110000000000,0,,0,56,0,,SW,22,,,0,6,,,0.00,9,1011.46,,,3Or6HourObs,0,6,,5,,,0,50,4,29.87,6,,1,10,1010,,21,,8,43,1013,,0,3,17,0.0,14,,,,,,29.92,,29.84,,,,,219,37,,74,,6,,69,43,33

49,20080520,49.840000000000,-97.110000000000,0,,0,48,0,,North,21,,,0,1,,,0.00,17,1014.15,,,3Or6HourObs,0,7,,8,,,0,50,5,29.95,0,,-4,13,1013,,15,,12,36,1016,,0,-1,20,0.0,8,,,,,,30.02,,29.91,,,,,349,29,,75,,2,,60,33,26

50,20080520,49.850000000000,-97.110000000000,0,,0,48,0,,North,21,,,0,1,,,0.00,17,1014.15,,,3Or6HourObs,0,7,,8,,,0,50,5,29.95,0,,-4,13,1013,,15,,12,36,1016,,0,-1,20,0.0,8,,,,,,30.02,,29.91,,,,,349,29,,75,,2,,60,33,26

51,20080527,49.837078749542,-97.098657407407,0,,0,52,0,,NW,14,,,0,1,,,0.00,14,1028.54,,,3Or6HourObs,0,0,,3,,,0,45,0,30.38,2,,-2,5,1026,,19,,5,37,1030,,0,-1,7,0.0,11,,,,,,30.43,,30.31,,,,,310,31,,86,,3,,66,34,28

52,20080527,49.840000000000,-97.110000000000,0,,0,52,0,,NW,14,,,0,1,,,0.00,14,1028.54,,,3Or6HourObs,0,0,,3,,,0,45,0,30.38,2,,-2,5,1026,,19,,5,37,1030,,0,-1,7,0.0,11,,,,,,30.43,,30.31,,,,,310,31,,86,,3,,66,34,28

53,20080527,49.850000000000,-97.110000000000,0,,0,52,0,,NW,14,,,0,1,,,0.00,14,1028.54,,,3Or6HourObs,0,0,,3,,,0,45,0,30.38,2,,-2,5,1026,,19,,5,37,1030,,0,-1,7,0.0,11,,,,,,30.43,,30.31,,,,,310,31,,86,,3,,66,34,28

54,20080605,49.837078749542,-97.098657407407,0,,0,60,0,,NE,22,,,0,10,,,0.00,5,1009.47,,,3Or6HourObs,0,2,,4,,,0,64,1,29.81,10,,5,9,1008,,23,,6,47,1012,,0,8,15,0.0,16,,,,,,29.88,,29.75,,,,,56,46,,93,,8,,73,50,41

55,20080605,49.850000000000,-97.110000000000,0,,0,60,0,,NE,22,,,0,10,,,0.00,5,1009.47,,,3Or6HourObs,0,2,,4,,,0,64,1,29.81,10,,5,9,1008,,23,,6,47,1012,,0,8,15,0.0,16,,,,,,29.88,,29.75,,,,,56,46,,93,,8,,73,50,41

56,20080605,49.850000000000,-97.110000000000,0,,0,60,0,,NE,22,,,0,10,,,0.00,5,1009.47,,,3Or6HourObs,0,2,,4,,,0,64,1,29.81,10,,5,9,1008,,23,,6,47,1012,,0,8,15,0.0,16,,,,,,29.88,,29.75,,,,,56,46,,93,,8,,73,50,41

57,20080605,49.850000000000,-97.110000000000,0,,0,60,0,,NE,22,,,0,10,,,0.00,5,1009.47,,,3Or6HourObs,0,2,,4,,,0,64,1,29.81,10,,5,9,1008,,23,,6,47,1012,,0,8,15,0.0,16,,,,,,29.88,,29.75,,,,,56,46,,93,,8,,73,50,41

58,20080605,49.850000000000,-97.110000000000,0,,0,60,0,,NE,22,,,0,10,,,0.00,5,1009.47,,,3Or6HourObs,0,2,,4,,,0,64,1,29.81,10,,5,9,1008,,23,,6,47,1012,,0,8,15,0.0,16,,,,,,29.88,,29.75,,,,,56,46,,93,,8,,73,50,41

59,20080610,49.840000000000,-97.110000000000,0,,0,54,0,,NE,27,,,0,10,,,0.00,10,1013.38,,,3Or6HourObs,0,4,,4,,,0,63,2,29.93,4,,3,7,1010,,18,,7,45,1016,,0,6,11,0.0,12,,,,,,30.01,,29.83,,,,,53,43,,91,,7,,64,49,38

60,20080610,49.837078749542,-97.098657407407,0,,0,54,0,,NE,27,,,0,10,,,0.00,10,1013.38,,,3Or6HourObs,0,4,,4,,,0,63,2,29.93,4,,3,7,1010,,18,,7,45,1016,,0,6,11,0.0,12,,,,,,30.01,,29.83,,,,,53,43,,91,,7,,64,49,38

61,20080610,49.850000000000,-97.110000000000,0,,0,54,0,,NE,27,,,0,10,,,0.00,10,1013.38,,,3Or6HourObs,0,4,,4,,,0,63,2,29.93,4,,3,7,1010,,18,,7,45,1016,,0,6,11,0.0,12,,,,,,30.01,,29.83,,,,,53,43,,91,,7,,64,49,38

62,20150413,50.187500000000,-97.125000000000,0,,0,44,0,,Variable,9,,,0,-4,,,0.00,22,1010.00,,,Precip24Synop,0,17,,12,,,0,33,10,29.83,0,,-11,30,1006,,14,,19,32,1013,,0,-7,48,0.0,6,,,,,,29.92,,29.72,,,,,-1,18,,67,,0,,58,25,12

63,20150414,50.187500000000,-97.125000000000,0,,0,46,0,,Variable,7,,,0,-7,,,0.00,18,1017.50,,,Precip24Synop,0,11,,8,,,0,18,7,30.05,0,,-11,17,1015,,20,,12,31,1020,,0,-9,28,0.0,8,,,,,,30.11,,29.99,,,,,-1,16,,39,,0,,69,20,12

64,20150415,50.187500000000,-97.125000000000,0,,0,62,0,,Variable,9,,,0,-1,,,0.00,3,1010.75,,,Precip24Synop,0,32,,18,,,0,16,20,29.84,12,,-6,34,1009,,24,,28,52,1012,,0,-3,56,0.0,16,,,,,,29.89,,29.79,,,,,-1,27,,29,,11,,76,30,20

65,20150416,50.187500000000,-97.125000000000,0,,0,48,0,,Variable,14,,,0,-0,,,0.00,18,1016.75,,,Precip24Synop,0,13,,7,,,0,34,8,30.03,0,,-4,12,1013,,17,,11,39,1019,,0,-2,18,0.0,8,,,,,,30.10,,29.91,,,,,-1,29,,53,,4,,62,32,25

66,20150417,50.187500000000,-97.125000000000,0,,0,52,0,,Variable,16,,,0,1,,,0.00,13,1018.25,,,Precip24Synop,0,18,,11,,,0,28,12,30.07,2,,-4,26,1017,,18,,18,40,1021,,0,-2,43,0.0,11,,,,,,30.15,,30.03,,,,,-1,28,,38,,4,,66,33,24

67,20150419,50.187500000000,-97.125000000000,0,,0,46,0,,Variable,38,,,0,7,,,0.00,19,1007.50,,,Precip24Synop,0,17,,11,,,0,76,10,29.74,0,,0,24,1007,,7,,18,36,1008,,0,3,39,0.0,8,,,,,,29.77,,29.73,,,,,-1,37,,94,,2,,44,44,32

68,20150420,50.187500000000,-97.125000000000,0,,0,32,0,,Variable,67,,,0,-2,,,0.00,34,1005.00,,,Precip24Synop,0,32,,17,,,0,77,20,29.67,0,,-3,30,1004,,2,,27,29,1007,,0,-2,48,0.0,0,,,,,,29.73,,29.64,,,,,-1,27,,87,,-1,,36,28,26

69,20150421,50.187500000000,-97.125000000000,0,,0,34,0,,Variable,27,,,0,-2,,,0.00,32,1010.00,,,Precip24Synop,0,33,,17,,,0,54,21,29.83,0,,-7,26,1005,,6,,27,28,1014,,0,-5,43,0.0,2,,,,,,29.96,,29.68,,,,,-1,23,,81,,-1,,44,29,19

70,20150422,50.187500000000,-97.125000000000,0,,0,28,0,,Variable,12,,,0,-8,,,0.00,36,1018.00,,,Precip24Synop,0,17,,10,,,0,40,10,30.07,0,,-14,18,1016,,7,,16,17,1019,,0,-11,30,0.0,-2,,,,,,30.09,,30.01,,,,,-1,12,,77,,-8,,45,18,6

71,20150423,50.187500000000,-97.125000000000,0,,0,25,0,,Variable,15,,,0,-10,,,0.00,40,1019.50,,,Precip24Synop,0,4,,4,,,0,40,2,30.10,0,,-13,7,1017,,8,,6,11,1021,,0,-11,11,0.0,-4,,,,,,30.14,,30.02,,,,,-1,12,,75,,-11,,46,14,9

72,20150424,50.187500000000,-97.125000000000,0,,0,44,0,,Variable,22,,,0,-1,,,0.00,21,1012.25,,,Precip24Synop,0,15,,8,,,0,28,9,29.89,0,,-11,16,1010,,13,,13,36,1015,,0,-6,26,0.0,6,,,,,,29.97,,29.83,,,,,-1,22,,32,,2,,57,30,12

73,20150426,50.187500000000,-97.125000000000,0,,0,51,0,,Variable,15,,,0,0,,,0.00,14,1018.50,,,Precip24Synop,0,11,,8,,,0,28,7,30.08,1,,-2,14,1017,,20,,13,38,1020,,0,-1,22,0.0,10,,,,,,30.12,,30.02,,,,,-1,30,,43,,3,,69,33,28

74,20150427,50.187500000000,-97.125000000000,0,,0,49,0,,Variable,57,,,0,6,,,0.00,16,1023.25,,,Precip24Synop,0,0,,5,,,0,72,0,30.22,0,,5,12,1021,,10,,8,46,1025,,0,5,18,0.0,9,,,,,,30.27,,30.15,,,,,-1,41,,80,,8,,51,42,40

75,20150428,50.187500000000,-97.125000000000,0,,0,40,0,,Variable,15,,,0,3,,,0.00,24,1024.25,,,Precip24Synop,0,0,,2,,,0,62,0,30.25,0,,-3,5,1020,,18,,3,24,1027,,0,-0,7,0.0,5,,,,,,30.33,,30.14,,,,,-1,31,,99,,-4,,65,37,26

76,20150429,50.187500000000,-97.125000000000,0,,0,56,0,,Variable,8,,,0,-0,,,0.00,8,1016.00,,,Precip24Synop,0,13,,6,,,0,29,8,30.00,6,,-4,9,1012,,25,,10,40,1019,,0,-2,15,0.0,14,,,,,,30.09,,29.89,,,,,-1,30,,50,,4,,77,32,25

77,20150430,50.187500000000,-97.125000000000,0,,0,61,0,,Variable,8,,,0,8,,,0.00,4,1010.25,,,Precip24Synop,0,17,,11,,,0,29,10,29.84,11,,-3,23,1009,,27,,18,45,1012,,0,0,37,0.0,16,,,,,,29.88,,29.80,,,,,-1,33,,45,,7,,81,46,27

78,20150501,50.187500000000,-97.125000000000,0,,0,54,0,,Variable,10,,,0,6,,,0.00,12,1011.50,,,Precip24Synop,0,6,,5,,,0,57,4,29.88,4,,-2,13,1008,,25,,9,37,1014,,0,3,20,0.0,12,,,,,,29.95,,29.78,,,,,-1,38,,99,,3,,77,44,28

79,20150502,50.187500000000,-97.125000000000,0,,0,64,0,,Variable,10,,,0,2,,,0.00,2,1003.00,,,Precip24Synop,0,20,,13,,,0,24,13,29.62,14,,0,21,999,,28,,21,46,1006,,0,1,33,0.0,18,,,,,,29.70,,29.49,,,,,-1,34,,51,,8,,84,36,33

